(('camera_beats'	 'look_away_slide_beats')	 'look_away_slide_iconic'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_away_slide_None'),0
(('camera_beats'	 'look_away_slide_beats')	 'slide_beats'),0
(('camera_beats'	 'look_away_slide_beats')	 'slide_metaphoric'),0
(('camera_beats'	 'look_away_slide_beats')	 'slide_deictic'),0
(('camera_beats'	 'look_away_slide_beats')	 'slide_iconic'),0
(('camera_beats'	 'look_away_slide_beats')	 'slide_None'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_down_beats'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_down_metaphoric'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_down_deictic'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_down_iconic'),0
(('camera_beats'	 'look_away_slide_beats')	 'look_down_None'),0
(('camera_beats'	 'look_away_slide_beats')	 'other_beats'),0
(('camera_beats'	 'look_away_slide_beats')	 'other_metaphoric'),0
(('camera_beats'	 'look_away_slide_beats')	 'other_deictic'),0
(('camera_beats'	 'look_away_slide_beats')	 'other_iconic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'camera_beats'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'camera_metaphoric'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'camera_deictic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'camera_iconic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'camera_None'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_away_slide_beats'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_away_slide_deictic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_away_slide_iconic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_away_slide_None'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'slide_beats'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'slide_metaphoric'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'slide_deictic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'slide_iconic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'slide_None'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_down_beats'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_down_metaphoric'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_down_deictic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_down_iconic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'look_down_None'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'other_beats'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'other_deictic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'other_iconic'),0
(('camera_beats'	 'look_away_slide_metaphoric')	 'other_None'),0
(('camera_beats'	 'look_away_slide_deictic')	 'camera_beats'),0
(('camera_beats'	 'look_away_slide_deictic')	 'camera_metaphoric'),0
(('camera_beats'	 'look_away_slide_deictic')	 'camera_deictic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'camera_iconic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'camera_None'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_away_slide_beats'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_away_slide_deictic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_away_slide_iconic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_away_slide_None'),0
(('camera_beats'	 'look_away_slide_deictic')	 'slide_beats'),0
(('camera_beats'	 'look_away_slide_deictic')	 'slide_metaphoric'),0
(('camera_beats'	 'look_away_slide_deictic')	 'slide_deictic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'slide_iconic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'slide_None'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_down_beats'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_down_metaphoric'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_down_deictic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_down_iconic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'look_down_None'),0
(('camera_beats'	 'look_away_slide_deictic')	 'other_beats'),0
(('camera_beats'	 'look_away_slide_deictic')	 'other_metaphoric'),0
(('camera_beats'	 'look_away_slide_deictic')	 'other_deictic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'other_iconic'),0
(('camera_beats'	 'look_away_slide_deictic')	 'other_None'),0
(('camera_beats'	 'look_away_slide_iconic')	 'camera_beats'),0
(('camera_beats'	 'look_away_slide_iconic')	 'camera_metaphoric'),0
(('camera_beats'	 'look_away_slide_iconic')	 'camera_deictic'),0
(('camera_beats'	 'look_away_slide_iconic')	 'camera_iconic'),0
(('camera_beats'	 'look_away_slide_iconic')	 'camera_None'),0
(('camera_beats'	 'look_away_slide_iconic')	 'look_away_slide_beats'),0
(('camera_beats'	 'look_away_slide_iconic')	 'look_away_slide_metaphoric'),0
(('camera_beats'	 'look_away_slide_iconic')	 'look_away_slide_deictic'),0
(('camera_beats'	 'look_away_slide_iconic')	 'look_away_slide_iconic'),0
(('camera_beats'	 'look_away_slide_iconic')	 'look_away_slide_None'),0
(('camera_beats'	 'look_away_slide_iconic')	 'slide_beats'),0
(('camera_beats'	 'look_away_slide_iconic')	 'slide_metaphoric'),0
(('camera_beats'	 'look_away_slide_iconic')	 'slide_deictic'),0
(('camera_beats'	 'look_away_slide_iconic')	 'slide_iconic'),0
(('camera_beats'	 'look_away_slide_iconic')	 'slide_None'),0
